Rk,Player,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att_T/O,Succ_T/O,Succ%_T/O,Tkld_T/O,Tkld%_T/O,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,"PrgR
▼"
97,Ebony Salmon,"FW,MF",Bristol City,19,2001,16.8,440,5,29,193,229,79,439,40,15,37.5,25,62.5,277,2166,987,49,22,45,60,39,300,78
98,Laura Rafferty,"DF,MF",Bristol City,24,1996,6.5,236,48,169,63,7,0,236,1,1,100,0,0,87,399,175,0,1,0,3,5,95,1
99,Jemma Purfield,DF,Bristol City,23,1997,21,1158,88,457,488,233,13,1158,26,19,73.1,7,26.9,323,2105,1140,26,13,4,22,13,375,32
100,Molly Pike,MF,Bristol City,19,2001,11,354,18,69,193,95,9,354,10,4,40,5,50,119,676,243,8,4,4,19,10,149,21
101,Aimee Palmer,"MF,DF",Bristol City,20,2000,9.6,368,25,157,171,45,3,368,4,2,50,2,50,141,701,242,2,1,0,14,19,159,4
102,Jasmine Matthews,"DF,MF",Bristol City,27,1993,8.9,393,85,265,117,12,3,393,4,3,75,1,25,140,804,330,2,3,0,7,10,149,3
103,Ella Mastrantonio,MF,Bristol City,28,1992,10.2,419,26,142,217,62,1,419,5,3,60,2,40,139,586,223,2,2,0,8,9,208,6
104,Chloe Logarzo,"MF,FW",Bristol City,25,1994,6.5,191,10,58,84,51,10,190,3,3,100,0,0,66,326,117,5,1,3,20,11,85,12
105,Naomi Layzell,DF,Bristol City,16,2004,4.2,104,18,81,21,2,0,104,0,0,,0,,30,122,44,0,0,0,1,2,39,0
106,Ellen Jones,MF,Bristol City,17,2002,1,29,1,5,16,10,1,29,2,0,0,2,100,17,52,29,0,1,0,7,0,15,3
107,Carla Humphrey,MF,Bristol City,23,1996,18.2,556,27,152,293,117,9,556,21,9,42.9,12,57.1,217,1147,385,9,10,0,25,24,296,26
108,Abigail Harrison,"FW,MF",Bristol City,22,1997,9.7,300,11,31,141,133,22,300,13,8,61.5,5,38.5,167,1007,286,15,13,3,30,29,209,50
109,Benedicte Håland,GK,Bristol City,22,1998,1,40,38,40,0,0,0,40,0,0,,0,,15,90,52,0,0,0,1,0,19,0
110,Gemma Evans,DF,Bristol City,23,1996,20,805,176,588,213,16,8,805,3,2,66.7,1,33.3,234,1222,532,5,1,0,14,7,291,4
111,Yana Daniels,"MF,FW",Bristol City,28,1992,19,704,41,196,326,194,23,704,33,17,51.5,16,48.5,299,1732,606,18,18,7,39,33,386,40
112,Faye Bryson,DF,Bristol City,23,1997,8,467,41,195,187,91,6,467,15,10,66.7,5,33.3,145,972,490,9,12,1,13,17,163,11
113,Emma Bissell,"MF,FW",Bristol City,18,2001,8.8,193,8,41,89,65,9,193,8,2,25,6,75,88,542,234,8,2,0,21,9,91,24
114,Sophie Baggaley,GK,Bristol City,23,1996,21,901,732,895,6,0,0,901,1,1,100,0,0,351,2403,1352,0,0,0,1,0,262,0
115,Flo Allen,DF,Bristol City,20,1999,12.1,490,44,229,192,72,4,490,6,3,50,3,50,158,871,446,6,5,1,10,9,185,10
116,Maria Thorisdottir,DF,Chelsea,27,1993,0.9,62,1,8,25,29,2,62,4,1,25,3,75,41,106,50,1,0,0,0,1,45,9
117,Carly Telford,GK,Chelsea,33,1987,3,88,64,85,3,0,0,88,0,0,,0,,48,244,180,0,0,0,0,0,50,0
118,Drew Spence,MF,Chelsea,27,1992,2.8,177,1,13,118,46,7,177,3,2,66.7,1,33.3,89,306,106,2,5,0,3,1,126,7
119,Ji So-yun,MF,Chelsea,29,1991,14.5,1135,11,162,660,328,20,1135,21,14,66.7,7,33.3,657,3098,1638,27,22,2,29,12,838,52
120,Guro Reiten,"FW,MF",Chelsea,26,1994,9.9,498,7,40,167,301,44,498,10,6,60,4,40,218,1143,482,16,12,3,24,7,304,83
121,Zećira Mušović,GK,Chelsea,24,1996,2,57,55,57,0,0,0,57,0,0,,0,,32,154,79,0,0,0,0,0,28,0
122,Maren Mjelde,DF,Chelsea,30,1989,13.5,1092,36,342,489,269,18,1090,17,10,58.8,7,41.2,523,2580,1420,22,17,5,11,8,643,43
123,Melanie Leupolz,MF,Chelsea,26,1994,15.9,969,16,213,565,201,21,967,8,6,75,2,25,490,1986,838,8,10,1,34,11,659,29
124,Fran Kirby,"FW,MF",Chelsea,27,1993,15.3,807,8,59,220,542,124,807,35,15,42.9,20,57.1,501,2727,1209,50,23,38,41,22,577,195
125,Sam Kerr,FW,Chelsea,26,1993,16.9,680,4,24,196,465,175,680,15,9,60,6,40,338,1604,863,44,15,31,36,13,526,192
126,Sophie Ingle,"MF,DF",Chelsea,28,1991,13.6,844,39,223,497,131,9,844,5,3,60,2,40,385,1722,893,4,9,0,9,3,542,12
127,Pernille Harder,"MF,FW",Chelsea,27,1992,14.3,680,5,60,234,391,81,679,24,11,45.8,13,54.2,390,2678,1368,58,33,18,34,21,500,118
128,Jorja Fox,DF,Chelsea,16,2003,0.1,8,0,0,6,2,0,8,0,0,,0,,3,31,27,1,0,0,0,0,8,0
129,Jessie Fleming,"MF,FW",Chelsea,22,1998,4.9,334,1,28,169,140,21,334,8,5,62.5,3,37.5,188,858,344,6,7,1,12,5,243,38
130,Magdalena Eriksson,DF,Chelsea,26,1993,19.1,1675,135,757,831,96,32,1675,6,6,100,0,0,1058,5775,3825,33,13,1,13,4,1230,14
131,Bethany England,FW,Chelsea,26,1994,11,455,6,22,135,299,88,455,11,5,45.5,6,54.5,217,920,303,18,6,10,42,16,340,104
132,Erin Cuthbert,"MF,FW",Chelsea,22,1998,13.6,735,8,73,311,360,38,735,24,13,54.2,11,45.8,357,1955,651,19,20,9,21,18,413,80
133,Niamh Charles,"DF,FW",Chelsea,21,1999,7.2,527,14,107,239,186,26,527,16,10,62.5,6,37.5,280,1639,796,23,18,9,21,7,328,60
