Rk,Player,Pos,"Squad
▲",Age,Born,90s,Tkl_plyr,TklW_plyr,Def 3rd_plyr,Mid 3rd_plyr,Att 3rd_plyr,Tkl_drb,Att_drb,Tkl%_drb,Lost_drb,Blocks,Sh,Pass,Int,Tkl+Int,Clr,"Err
▼"
219,Justine Vanhaevermaet,"MF,DF",Reading,29,1992,17.6,29,20,17,6,6,11,14,78.6,3,37,14,23,20,49,68,0
220,Sanne Troelsgaard Nielsen,MF,Reading,32,1988,9.9,15,13,6,7,2,5,7,71.4,2,10,2,8,13,28,10,0
221,Rhiannon Stewart,GK,Reading,,,2.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
222,Rachel Rowe,"MF,FW",Reading,28,1992,10.5,28,17,8,16,4,6,13,46.2,7,9,1,8,13,41,2,0
223,Deanne Rose,"FW,MF",Reading,22,1999,18.6,20,15,4,15,1,3,7,42.9,4,16,0,16,6,26,6,0
224,Beth Roberts,"DF,FW",Reading,18,2003,0.8,0,0,0,0,0,0,1,0,1,3,1,2,1,1,3,0
225,Tia Primmer,"MF,FW",Reading,17,2004,2.4,4,3,1,2,1,2,3,66.7,1,6,1,5,4,8,5,0
226,Chloe Peplow,"MF,DF",Reading,22,1998,8.8,19,12,10,8,1,6,14,42.9,8,16,7,9,19,38,17,0
227,Grace Moloney,GK,Reading,28,1993,19.5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,0
228,Emma Harries,"MF,FW",Reading,19,2002,12.5,10,7,1,7,2,2,7,28.6,5,13,2,11,8,18,6,0
229,Natasha Harding,"DF,MF",Reading,32,1989,20.2,23,14,12,11,0,9,15,60,6,28,13,15,42,65,41,0
230,Jeon Ga-eul,"FW,DF",Reading,32,1988,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
231,Gemma Evans,DF,Reading,24,1996,22,26,20,19,6,1,6,12,50,6,51,26,25,41,67,110,0
232,Amalie Eikeland,"MF,FW",Reading,25,1995,19.2,32,23,9,22,1,9,19,47.4,10,23,1,22,13,45,12,0
233,Natasha Dowie,FW,Reading,33,1988,15.3,5,3,0,3,2,2,5,40,3,8,1,7,3,8,2,0
234,Deanna Cooper,DF,Reading,28,1993,14.6,18,15,13,5,0,8,15,53.3,7,19,13,6,19,37,72,0
235,Brooke Chaplen,"MF,FW",Reading,32,1989,8,15,10,9,6,0,2,3,66.7,1,7,0,7,2,17,6,0
236,Faye Bryson,"DF,MF",Reading,24,1997,20,53,39,24,27,2,22,32,68.8,10,31,18,13,27,80,50,0
237,Shelina Zadorsky,DF,Tottenham,28,1992,20.4,17,15,14,2,1,8,14,57.1,6,22,13,9,22,39,51,0
238,Rachel Williams,FW,Tottenham,33,1988,20,17,13,2,10,5,2,4,50,2,15,3,12,8,25,9,0
239,Chioma Ubogagu,"FW,MF",Tottenham,28,1992,5.5,14,10,5,7,2,1,1,100,0,7,0,7,9,23,6,0
240,Eveliina Summanen,"MF,FW",Tottenham,23,1998,7.8,18,10,9,7,2,4,8,50,4,10,3,7,15,33,8,0
241,Rebecca Spencer,GK,Tottenham,30,1991,11,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
242,Cho So-hyun,"MF,FW",Tottenham,33,1988,6.7,12,9,4,6,2,3,3,100,0,12,4,8,3,15,7,0
243,Kyah Simon,"FW,MF",Tottenham,30,1991,10.2,8,5,2,4,2,3,8,37.5,5,8,0,8,7,15,4,0
244,Viktoria Schnaderbeck,DF,Tottenham,30,1991,2.7,1,1,1,0,0,1,1,100,0,4,1,3,2,3,6,0
245,Ria Percival,"MF,DF",Tottenham,31,1989,16.8,42,31,15,22,5,11,15,73.3,4,35,4,31,12,54,16,0
246,Ashleigh Neville,"DF,MF",Tottenham,28,1993,20.4,68,48,30,31,7,16,31,51.6,15,33,9,24,57,125,68,1
247,Jessica Naz,"FW,MF",Tottenham,20,2000,13.1,29,19,8,16,5,7,16,43.8,9,16,0,16,6,35,4,0
248,Isabella Lane,"DF,MF",Tottenham,17,2003,0.3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
249,Tinja-Riikka Korpela,GK,Tottenham,35,1986,11,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
250,Tang Jiali,FW,Tottenham,26,1995,2.9,2,1,0,1,1,0,1,0,1,0,0,0,2,4,2,0
251,Kerys Harrop,"DF,MF",Tottenham,30,1990,16.8,39,24,24,11,4,13,19,68.4,6,26,5,21,16,55,42,0
252,Josephine Green,MF,Tottenham,28,1993,6,11,9,5,5,1,1,3,33.3,2,6,1,5,5,16,5,0
253,Kit Graham,"FW,MF",Tottenham,25,1995,5.9,7,6,0,4,3,0,3,0,3,3,1,2,2,9,5,0
254,Maéva Clemaron,MF,Tottenham,28,1992,19.3,39,26,12,22,5,6,12,50,6,26,3,23,24,63,21,0
255,Molly Bartrip,DF,Tottenham,25,1996,22,15,11,10,4,1,4,6,66.7,2,36,21,15,27,42,81,0
256,Rosella Ayane,"FW,MF",Tottenham,25,1996,8.4,19,15,6,8,5,3,7,42.9,4,11,1,10,4,23,6,0
257,Asmita Ale,"DF,MF",Tottenham,19,2001,10.7,22,17,13,8,1,5,12,41.7,7,17,1,16,17,39,19,0
258,Angela Addison,"MF,FW",Tottenham,21,1999,3.9,6,3,2,2,2,1,1,100,0,4,1,3,6,12,1,0
259,Tameka Yallop,"MF,FW",West Ham,30,1991,13.4,13,9,5,5,3,2,6,33.3,4,11,1,10,5,18,11,0
260,Zaneta Wyne,"DF,MF",West Ham,31,1990,12.7,16,13,12,2,2,6,15,40,9,17,1,16,12,28,17,0
261,Claudia Walker,FW,West Ham,25,1996,15,9,6,1,6,2,1,2,50,1,9,0,9,3,12,2,0
262,Kateřina Svitková,"DF,MF",West Ham,25,1996,17.2,52,36,34,13,5,15,28,53.6,13,36,1,35,29,81,21,0
263,Abbey-Leigh Stringer,"MF,FW",West Ham,26,1995,12.4,29,18,12,12,5,6,9,66.7,3,18,7,11,19,48,19,0
264,Emma Snerle,"MF,FW",West Ham,20,2001,5.1,5,3,2,1,2,0,1,0,1,2,0,2,4,9,4,0
265,Lucy Parker,"DF,MF",West Ham,22,1998,9.4,11,8,9,2,0,5,10,50,5,15,8,7,20,31,28,1
266,Kate Longhurst,DF,West Ham,32,1989,19.5,34,25,25,6,3,13,20,65,7,28,3,25,21,55,43,0
267,Adriana Leon,FW,West Ham,28,1992,10.8,14,13,1,10,3,1,4,25,3,7,0,7,7,21,0,0
268,Anna Leat,GK,West Ham,20,2001,4,1,1,1,0,0,1,1,100,0,0,0,0,0,1,1,0
269,Lois Joel,DF,West Ham,22,1999,1.3,2,2,1,0,1,2,2,100,0,3,0,3,1,3,1,0
270,Halle Houssein,"MF,FW",West Ham,16,2004,0.3,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
271,Yui Hasegawa,"MF,FW",West Ham,24,1997,16.2,33,21,10,19,4,6,10,60,4,18,1,17,23,56,10,0
272,Grace Garrad,"DF,FW",West Ham,18,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
273,Gilly Flaherty,DF,West Ham,29,1991,19,17,13,12,3,2,3,6,50,3,22,16,6,34,51,70,0
274,Grace Fisk,DF,West Ham,23,1998,15,28,19,16,10,2,11,15,73.3,4,19,12,7,35,63,65,0
275,Melisa Filis,"MF,FW",West Ham,19,2002,4.3,2,2,1,1,0,1,2,50,1,5,0,5,2,4,2,0
276,Lisa Evans,"FW,DF",West Ham,29,1992,11.6,8,5,3,4,1,1,5,20,4,6,0,6,3,11,4,0
277,Hawa Cissoko,DF,West Ham,24,1997,17,42,32,26,12,4,12,16,75,4,27,11,16,33,75,43,0
278,Brooke Cairns,FW,West Ham,18,2003,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
279,Dagný Brynjarsdóttir,"MF,FW",West Ham,29,1991,18.6,40,26,16,16,8,5,10,50,5,28,5,23,18,58,16,0
280,Mackenzie Arnold,GK,West Ham,27,1994,18,1,0,1,0,0,1,3,33.3,2,0,0,0,1,2,17,1
