Rk,Player,Pos,"Squad
▲",Age,Born,90s,"SCA
▼",SCA90,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA,GCA90,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA
65,Jasmine Matthews,"DF,MF",Bristol City,26,1993,13,12,0.92,8,0,2,0,0,2,1,0.08,1,0,0,0,0,0
66,Chloe Logarzo,MF,Bristol City,24,1994,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Carla Humphrey,MF,Bristol City,22,1996,7.6,9,1.18,4,4,1,0,0,0,1,0.13,1,0,0,0,0,0
68,Elise Hughes,"FW,MF",Bristol City,18,2001,1.8,1,0.55,0,0,0,0,1,0,0,0,0,0,0,0,0,0
69,Abigail Harrison,FW,Bristol City,21,1997,3.9,6,1.52,6,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Jeon Ga-eul,"MF,FW",Bristol City,30,1988,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Gemma Evans,DF,Bristol City,22,1996,11.2,5,0.45,4,1,0,0,0,0,0,0,0,0,0,0,0,0
72,Loren Dykes,DF,Bristol City,31,1988,9.3,3,0.32,3,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Vita van der Linden,MF,Bristol City,22,1997,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Yana Daniels,"MF,FW",Bristol City,27,1992,13,18,1.38,6,5,0,2,4,1,1,0.08,0,0,0,1,0,0
75,Maisy Collis,DF,Bristol City,19,2000,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Olivia Chance,MF,Bristol City,25,1993,11.3,10,0.88,4,2,2,1,0,1,1,0.09,0,0,0,1,0,0
77,Faye Bryson,DF,Bristol City,22,1997,2.3,1,0.44,0,0,0,0,1,0,0,0,0,0,0,0,0,0
78,Frankie Brown,"MF,DF",Bristol City,31,1987,12.7,10,0.79,10,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Sophie Baggaley,GK,Bristol City,22,1996,14,2,0.14,2,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Flo Allen,DF,Bristol City,19,1999,3,3,1.02,2,0,1,0,0,0,0,0,0,0,0,0,0,0
81,Maria Thorisdottir,MF,Chelsea,26,1993,0.8,1,1.14,0,0,0,1,0,0,0,0,0,0,0,0,0,0
82,Carly Telford,GK,Chelsea,32,1987,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Drew Spence,"MF,FW",Chelsea,26,1992,7,21,3,16,0,2,2,1,0,4,0.57,4,0,0,0,0,0
84,Ji So-yun,MF,Chelsea,28,1991,11.1,55,4.96,45,0,3,6,0,1,7,0.63,6,0,0,1,0,0
85,Guro Reiten,"MF,FW",Chelsea,25,1994,13.4,83,6.2,53,17,3,3,5,2,13,0.97,9,1,0,1,1,1
86,Jamie-Lee Napier,"MF,DF",Chelsea,19,2000,0.2,1,5.63,1,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Emily Murphy,"MF,FW",Chelsea,16,2003,0.3,2,6.92,1,0,0,1,0,0,0,0,0,0,0,0,0,0
88,Maren Mjelde,"DF,MF",Chelsea,29,1989,14,39,2.79,32,2,0,2,2,1,2,0.14,2,0,0,0,0,0
89,Fran Kirby,"FW,MF",Chelsea,26,1993,2.2,18,8.31,15,0,1,1,1,0,8,3.69,6,0,1,0,1,0
90,Sam Kerr,FW,Chelsea,25,1993,3.3,11,3.37,7,0,1,2,1,0,2,0.61,1,0,0,1,0,0
91,Sophie Ingle,MF,Chelsea,27,1991,14,33,2.35,30,0,0,1,1,1,5,0.36,5,0,0,0,0,0
92,Magdalena Eriksson,DF,Chelsea,25,1993,14,17,1.21,15,1,0,1,0,0,1,0.07,1,0,0,0,0,0
93,Adelina Engman,"FW,MF",Chelsea,24,1994,0.9,4,4.44,2,0,0,1,1,0,0,0,0,0,0,0,0,0
94,Bethany England,FW,Chelsea,25,1994,14.7,61,4.16,39,1,6,13,2,0,12,0.82,6,0,3,3,0,0
95,Erin Cuthbert,"MF,FW",Chelsea,21,1998,11.9,62,5.24,31,16,4,3,5,3,8,0.68,5,1,1,0,1,0
96,Deanna Cooper,DF,Chelsea,26,1993,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Jess Carter,"DF,MF",Chelsea,21,1997,1.9,7,3.64,6,1,0,0,0,0,2,1.04,2,0,0,0,0,0
98,Millie Bright,DF,Chelsea,25,1993,15,21,1.4,17,1,1,1,1,0,3,0.2,3,0,0,0,0,0
99,Hannah Blundell,DF,Chelsea,25,1994,4.6,11,2.37,10,0,0,1,0,0,1,0.22,1,0,0,0,0,0
100,Ann-Katrin Berger,GK,Chelsea,28,1990,13,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Ramona Bachmann,"FW,MF",Chelsea,28,1990,6.3,30,4.75,22,1,3,2,1,1,3,0.48,3,0,0,0,0,0
102,Jonna Andersson,DF,Chelsea,26,1993,14.1,46,3.26,42,4,0,0,0,0,10,0.71,10,0,0,0,0,0
103,Danielle Turner,DF,Everton,28,1991,14,20,1.43,12,4,0,0,2,2,4,0.29,3,1,0,0,0,0
104,Abbey-Leigh Stringer,MF,Everton,24,1995,5.6,1,0.18,1,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Molly Pike,MF,Everton,18,2001,6.3,11,1.76,11,0,0,0,0,0,4,0.64,4,0,0,0,0,0
106,Esme Morgan,DF,Everton,18,2000,10.2,13,1.27,10,3,0,0,0,0,1,0.1,1,0,0,0,0,0
107,Simone Magill,"FW,MF",Everton,24,1994,9.9,27,2.72,25,0,0,2,0,0,5,0.5,4,0,0,1,0,0
108,Sandy MacIver,GK,Everton,21,1998,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Tinja-Riikka Korpela,GK,Everton,33,1986,11,2,0.18,1,1,0,0,0,0,0,0,0,0,0,0,0,0
110,Chloe Kelly,FW,Everton,21,1998,11.8,58,4.9,21,8,15,6,7,1,5,0.42,2,1,2,0,0,0
111,Inessa Kaagman,"FW,MF",Everton,23,1996,10.9,26,2.38,10,12,0,2,2,0,3,0.27,1,1,0,1,0,0
112,Elise Hughes,FW,Everton,18,2001,1.2,2,1.73,1,0,0,0,1,0,0,0,0,0,0,0,0,0
113,Taylor Hinds,DF,Everton,19,1999,2.4,2,0.83,2,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Lucy Graham,MF,Everton,22,1996,13.7,22,1.61,13,0,0,5,2,2,3,0.22,2,0,0,0,1,0
115,Gabrielle George,DF,Everton,22,1997,13,14,1.08,10,0,3,0,1,0,0,0,0,0,0,0,0,0
116,Megan Finnigan,DF,Everton,21,1998,10,4,0.4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Kika van Es,DF,Everton,27,1991,7.1,5,0.71,5,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Maéva Clemaron,MF,Everton,26,1992,10.9,15,1.38,14,0,0,0,0,1,0,0,0,0,0,0,0,0
119,Hannah Cain,FW,Everton,20,1999,6.1,15,2.45,14,0,1,0,0,0,1,0.16,1,0,0,0,0,0
120,Chantelle Boye-Hlorkah,FW,Everton,23,1995,6.8,22,3.21,16,2,2,1,1,0,3,0.44,3,0,0,0,0,0
121,Courtney Sweetman-Kirk,FW,Liverpool,28,1990,6.7,7,1.05,6,0,0,0,1,0,0,0,0,0,0,0,0,0
122,Amy Rodgers,MF,Liverpool,19,2000,2.6,5,1.95,5,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Rhiannon Roberts,MF,Liverpool,28,1990,9.8,12,1.23,10,1,0,0,1,0,1,0.1,1,0,0,0,0,0
124,Leigh-Anne Robe,DF,Liverpool,25,1993,14,14,1,9,2,2,0,1,0,0,0,0,0,0,0,0,0
125,Jemma Purfield,DF,Liverpool,22,1997,1.3,1,0.79,1,0,0,0,0,0,0,0,0,0,0,0,0,0
126,Anke Preuß,GK,Liverpool,26,1992,10,1,0.1,1,0,0,0,0,0,1,0.1,1,0,0,0,0,0
127,Christie Murray,MF,Liverpool,29,1990,1,5,5.23,2,3,0,0,0,0,1,1.05,0,1,0,0,0,0
128,Kirsty Linnett,"MF,FW",Liverpool,25,1993,6.9,17,2.45,8,0,1,3,5,0,1,0.14,1,0,0,0,0,0
129,Melissa Lawley,"FW,MF",Liverpool,25,1994,13.4,41,3.05,19,9,6,2,5,0,1,0.07,0,0,0,1,0,0
130,Frances Kitching,GK,Liverpool,21,1998,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,Rebecca Jane,DF,Liverpool,27,1992,14,22,1.58,14,6,1,1,0,0,0,0,0,0,0,0,0,0
132,Ashley Hodson,"FW,MF",Liverpool,24,1995,2.8,7,2.51,5,0,0,1,1,0,0,0,0,0,0,0,0,0
133,Rachel Furness,MF,Liverpool,31,1988,4,11,2.75,9,0,0,0,2,0,1,0.25,1,0,0,0,0,0
134,Niamh Fahey,DF,Liverpool,31,1987,12.7,7,0.55,7,0,0,0,0,0,0,0,0,0,0,0,0,0
135,Jessica Clarke,"FW,MF",Liverpool,30,1989,4,10,2.49,5,0,3,0,2,0,2,0.5,0,0,1,0,1,0
136,Niamh Charles,"FW,MF",Liverpool,20,1999,11.8,34,2.88,22,1,6,2,1,2,1,0.08,1,0,0,0,0,0
137,Sophie Bradley,DF,Liverpool,29,1989,14,10,0.71,9,0,0,1,0,0,0,0,0,0,0,0,0,0
138,Jade Bailey,MF,Liverpool,23,1995,12.6,23,1.82,12,7,1,2,0,1,1,0.08,0,0,0,1,0,0
139,Rinsola Babajide,"FW,MF",Liverpool,21,1998,8.2,27,3.28,8,1,12,1,3,2,2,0.24,0,0,1,0,1,0
140,Tessa Wullaert,"FW,MF",Manchester City,26,1993,9.7,46,4.74,38,2,2,1,2,1,1,0.1,1,0,0,0,0,0
141,Ellen White,FW,Manchester City,30,1989,9.5,17,1.79,14,0,0,1,2,0,4,0.42,4,0,0,0,0,0
142,Caroline Weir,MF,Manchester City,24,1995,16,81,5.06,38,30,2,2,5,4,13,0.81,4,5,1,0,2,1
143,Keira Walsh,MF,Manchester City,22,1997,14,48,3.43,44,1,1,0,0,2,7,0.5,7,0,0,0,0,0
144,Tyler Toland,MF,Manchester City,17,2001,0.2,1,5.63,1,0,0,0,0,0,0,0,0,0,0,0,0,0
145,Demi Stokes,DF,Manchester City,27,1991,12.6,21,1.66,13,2,2,0,1,3,1,0.08,0,0,0,0,1,0
146,Georgia Stanway,"FW,DF",Manchester City,20,1999,9.2,22,2.39,15,1,1,2,2,1,6,0.65,3,1,1,0,1,0
147,Jill Scott,MF,Manchester City,32,1987,14.3,54,3.78,45,0,2,1,2,4,8,0.56,5,0,1,1,0,1
148,Ellie Roebuck,GK,Manchester City,19,1999,16,3,0.19,3,0,0,0,0,0,0,0,0,0,0,0,0,0
149,Jessica Park,MF,Manchester City,17,2001,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,Aoife Mannion,DF,Manchester City,23,1995,4,3,0.76,2,0,0,0,0,1,0,0,0,0,0,0,0,0
151,Steph Houghton,DF,Manchester City,31,1988,16,21,1.31,21,0,0,0,0,0,3,0.19,3,0,0,0,0,0
152,Lauren Hemp,"MF,FW",Manchester City,18,2000,12.6,41,3.25,32,1,3,0,1,4,6,0.48,5,0,0,0,0,1
153,Lee Geum-min,"MF,FW",Manchester City,25,1994,0.5,2,4.09,2,0,0,0,0,0,0,0,0,0,0,0,0,0
154,Matilde Fidalgo,DF,Manchester City,25,1994,0.7,1,1.41,1,0,0,0,0,0,0,0,0,0,0,0,0,0
155,Laura Coombs,"MF,FW",Manchester City,28,1991,1.2,1,0.87,1,0,0,0,0,0,0,0,0,0,0,0,0,0
156,Megan Campbell,DF,Manchester City,26,1993,3.7,9,2.43,5,0,0,1,1,2,1,0.27,1,0,0,0,0,0
157,Pauline Bremer,FW,Manchester City,23,1996,6.4,22,3.42,15,0,2,5,0,0,2,0.31,1,0,0,1,0,0
158,Gemma Bonner,DF,Manchester City,28,1991,16,5,0.31,4,0,0,1,0,0,0,0,0,0,0,0,0,0
