Rk,Player,Pos,"Squad
▲",Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
54,Danielle Buet,MF,Brighton,30,1988,14.9,0,7,4,57.1,0.47,0.27,0,0,32.3,1,0,0,0.2,0.2,0.03,-0.2,-0.2
55,Ellie Brazil,"MF,FW",Brighton,20,1999,5,0,7,3,42.9,1.4,0.6,0,0,12.8,0,0,0,1.2,1.2,0.18,-1.2,-1.2
56,Kirsty Barton,DF,Brighton,27,1992,10,0,2,0,0,0.2,0,0,,26.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1
57,Megan Wynne,"FW,MF",Bristol City,26,1993,1.4,0,1,1,100,0.73,0.73,0,0,10.3,0,0,0,0.1,0.1,0.11,-0.1,-0.1
58,Georgia Wilson,"MF,FW",Bristol City,17,2002,4.4,0,2,1,50,0.45,0.23,0,0,22.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1
59,Charlie Wellings,"FW,MF",Bristol City,21,1998,12.8,1,14,5,35.7,1.09,0.39,0.07,0.2,22.3,1,0,1,1.7,1.1,0.08,-0.7,-0.1
60,Meaghan Sargeant,DF,Bristol City,25,1994,11.7,0,4,0,0,0.34,0,0,,9.6,0,0,0,0.3,0.3,0.08,-0.3,-0.3
61,Ebony Salmon,"FW,MF",Bristol City,18,2001,8.3,5,22,15,68.2,2.65,1.81,0.23,0.33,18.5,0,0,0,2.3,2.3,0.1,2.7,2.7
62,Katie Robinson,"FW,MF",Bristol City,16,2002,3,0,1,0,0,0.34,0,0,,18.7,0,0,0,0,0,0.03,0,0
63,Kirsten Reilly,FW,Bristol City,23,1995,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
64,Poppy Pattinson,DF,Bristol City,19,2000,5.9,0,2,1,50,0.34,0.17,0,0,18,0,0,0,0.1,0,0.01,-0.1,0
65,Jasmine Matthews,"DF,MF",Bristol City,26,1993,13,0,4,1,25,0.31,0.08,0,0,14,0,0,0,0.8,0.8,0.2,-0.8,-0.8
66,Chloe Logarzo,MF,Bristol City,24,1994,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
67,Carla Humphrey,MF,Bristol City,22,1996,7.6,0,8,2,25,1.05,0.26,0,0,25.6,0,0,0,0.3,0.3,0.04,-0.3,-0.3
68,Elise Hughes,"FW,MF",Bristol City,18,2001,1.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
69,Abigail Harrison,FW,Bristol City,21,1997,3.9,1,5,3,60,1.27,0.76,0.2,0.33,21.9,0,0,0,0.5,0.5,0.09,0.5,0.5
70,Jeon Ga-eul,"MF,FW",Bristol City,30,1988,1.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
71,Gemma Evans,DF,Bristol City,22,1996,11.2,0,3,2,66.7,0.27,0.18,0,0,14,0,0,0,0.1,0.1,0.05,-0.1,-0.1
