Rk,Player,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
71,Gemma Evans,DF,Bristol City,22,1996,11.2,1,0,0,8,9,0,8,17,17,0,1,0,57,19,17,52.8
72,Loren Dykes,DF,Bristol City,31,1988,9.3,0,0,0,4,3,0,4,12,11,0,1,0,41,6,7,46.2
73,Vita van der Linden,MF,Bristol City,22,1997,0.6,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,
74,Yana Daniels,"MF,FW",Bristol City,27,1992,13,1,0,0,25,28,0,22,15,17,1,1,0,90,28,41,40.6
75,Maisy Collis,DF,Bristol City,19,2000,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
76,Olivia Chance,MF,Bristol City,25,1993,11.3,1,0,0,11,2,0,11,5,6,0,0,0,57,2,7,22.2
77,Faye Bryson,DF,Bristol City,22,1997,2.3,1,0,0,1,3,0,5,5,5,0,0,0,20,2,3,40
78,Frankie Brown,"MF,DF",Bristol City,31,1987,12.7,2,0,0,9,5,0,2,12,7,0,0,0,67,14,10,58.3
79,Sophie Baggaley,GK,Bristol City,22,1996,14,0,0,0,0,5,0,0,0,0,0,0,0,26,5,1,83.3
80,Flo Allen,DF,Bristol City,19,1999,3,0,0,0,0,3,1,2,3,2,0,0,0,13,1,1,50
81,Maria Thorisdottir,MF,Chelsea,26,1993,0.8,0,0,0,1,0,1,1,2,1,0,0,0,5,5,2,71.4
82,Carly Telford,GK,Chelsea,32,1987,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100
83,Drew Spence,"MF,FW",Chelsea,26,1992,7,1,0,0,8,4,1,1,6,8,0,0,0,59,5,8,38.5
84,Ji So-yun,MF,Chelsea,28,1991,11.1,1,0,0,11,10,3,9,16,13,0,0,0,90,16,9,64
85,Guro Reiten,"MF,FW",Chelsea,25,1994,13.4,0,0,0,6,16,5,92,11,15,0,0,0,63,9,12,42.9
86,Jamie-Lee Napier,"MF,DF",Chelsea,19,2000,0.2,0,0,0,3,0,1,0,0,0,0,0,0,2,1,2,33.3
87,Emily Murphy,"MF,FW",Chelsea,16,2003,0.3,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,
88,Maren Mjelde,"DF,MF",Chelsea,29,1989,14,1,0,0,9,12,0,38,10,10,0,0,0,74,11,16,40.7
89,Fran Kirby,"FW,MF",Chelsea,26,1993,2.2,0,0,0,1,2,2,3,0,1,1,0,0,12,0,5,0
90,Sam Kerr,FW,Chelsea,25,1993,3.3,0,0,0,1,2,3,5,2,2,0,0,0,13,5,2,71.4
91,Sophie Ingle,MF,Chelsea,27,1991,14,1,0,0,18,5,0,9,9,15,0,1,0,108,28,10,73.7
92,Magdalena Eriksson,DF,Chelsea,25,1993,14,1,0,0,14,2,0,2,15,7,0,0,0,91,41,19,68.3
93,Adelina Engman,"FW,MF",Chelsea,24,1994,0.9,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,100
94,Bethany England,FW,Chelsea,25,1994,14.7,0,0,0,8,9,12,23,1,3,0,0,0,56,21,31,40.4
95,Erin Cuthbert,"MF,FW",Chelsea,21,1998,11.9,2,0,0,18,22,4,100,12,21,0,0,0,82,13,16,44.8
96,Deanna Cooper,DF,Chelsea,26,1993,0.3,0,0,0,0,1,0,1,0,1,0,0,0,1,2,0,100
97,Jess Carter,"DF,MF",Chelsea,21,1997,1.9,1,0,0,3,4,0,2,3,2,0,0,0,15,3,5,37.5
98,Millie Bright,DF,Chelsea,25,1993,15,2,0,0,9,4,0,7,27,13,0,0,0,86,41,14,74.5
99,Hannah Blundell,DF,Chelsea,25,1994,4.6,0,0,0,0,5,0,12,8,5,0,0,0,37,1,2,33.3
100,Ann-Katrin Berger,GK,Chelsea,28,1990,13,0,0,0,0,5,0,0,0,0,0,0,0,18,3,1,75
101,Ramona Bachmann,"FW,MF",Chelsea,28,1990,6.3,0,0,0,9,5,3,21,1,8,0,0,0,43,0,5,0
102,Jonna Andersson,DF,Chelsea,26,1993,14.1,0,0,0,7,3,1,53,16,16,0,0,0,80,11,16,40.7
103,Danielle Turner,DF,Everton,28,1991,14,0,0,0,15,10,0,30,37,27,0,0,0,97,26,24,52
104,Abbey-Leigh Stringer,MF,Everton,24,1995,5.6,3,0,0,15,1,0,1,10,9,0,0,0,36,7,8,46.7
105,Molly Pike,MF,Everton,18,2001,6.3,0,0,0,8,6,1,4,8,7,0,0,0,33,5,6,45.5
106,Esme Morgan,DF,Everton,18,2000,10.2,2,0,0,5,8,1,6,10,7,0,0,0,56,11,6,64.7
107,Simone Magill,"FW,MF",Everton,24,1994,9.9,0,0,0,7,12,3,8,3,15,0,0,0,47,23,38,37.7
108,Sandy MacIver,GK,Everton,21,1998,3,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,100
109,Tinja-Riikka Korpela,GK,Everton,33,1986,11,0,0,0,0,1,0,0,0,1,0,0,0,22,2,0,100
110,Chloe Kelly,FW,Everton,21,1998,11.8,2,0,0,16,37,1,65,17,21,0,1,0,78,0,13,0
111,Inessa Kaagman,"FW,MF",Everton,23,1996,10.9,2,0,0,14,6,4,50,7,15,0,0,0,69,3,8,27.3
112,Elise Hughes,FW,Everton,18,2001,1.2,0,0,0,0,1,0,0,0,1,0,0,0,4,3,5,37.5
113,Taylor Hinds,DF,Everton,19,1999,2.4,0,0,0,2,2,0,3,4,3,0,0,0,19,6,3,66.7
114,Lucy Graham,MF,Everton,22,1996,13.7,2,0,0,17,22,2,11,15,16,1,0,0,106,29,22,56.9
115,Gabrielle George,DF,Everton,22,1997,13,3,0,0,10,8,0,0,26,7,0,0,0,78,19,12,61.3
116,Megan Finnigan,DF,Everton,21,1998,10,0,0,0,4,2,3,0,13,10,0,2,0,54,17,14,54.8
117,Kika van Es,DF,Everton,27,1991,7.1,0,0,0,2,4,0,2,12,5,0,0,0,61,3,5,37.5
118,Maéva Clemaron,MF,Everton,26,1992,10.9,4,0,0,20,6,0,3,26,14,0,0,0,103,18,6,75
119,Hannah Cain,FW,Everton,20,1999,6.1,2,0,0,4,2,2,8,0,5,0,0,0,13,7,12,36.8
120,Chantelle Boye-Hlorkah,FW,Everton,23,1995,6.8,0,0,0,8,4,2,31,9,12,0,0,0,41,13,14,48.1
121,Courtney Sweetman-Kirk,FW,Liverpool,28,1990,6.7,0,0,0,2,4,6,1,2,2,0,0,0,17,10,25,28.6
122,Amy Rodgers,MF,Liverpool,19,2000,2.6,0,0,0,2,2,0,0,1,3,0,0,0,14,2,7,22.2
123,Rhiannon Roberts,MF,Liverpool,28,1990,9.8,1,0,0,7,14,0,6,9,17,1,0,0,62,14,20,41.2
124,Leigh-Anne Robe,DF,Liverpool,25,1993,14,4,0,0,24,9,0,11,30,36,0,1,0,70,20,10,66.7
125,Jemma Purfield,DF,Liverpool,22,1997,1.3,0,0,0,1,1,0,1,1,4,0,0,0,7,1,1,50
126,Anke Preuß,GK,Liverpool,26,1992,10,0,0,0,0,1,0,0,0,0,0,0,0,15,0,0,
127,Christie Murray,MF,Liverpool,29,1990,1,0,0,0,0,0,0,10,1,1,0,0,0,7,1,2,33.3
128,Kirsty Linnett,"MF,FW",Liverpool,25,1993,6.9,2,0,0,11,14,1,3,5,6,0,0,0,49,3,10,23.1
129,Melissa Lawley,"FW,MF",Liverpool,25,1994,13.4,3,0,0,20,16,2,70,13,11,0,0,0,79,3,6,33.3
130,Frances Kitching,GK,Liverpool,21,1998,4,0,0,0,0,2,0,0,0,0,0,0,0,6,1,0,100
131,Rebecca Jane,DF,Liverpool,27,1992,14,1,0,0,7,2,0,26,34,15,0,1,0,116,11,13,45.8
132,Ashley Hodson,"FW,MF",Liverpool,24,1995,2.8,0,0,0,4,1,5,2,0,1,0,0,0,7,1,2,33.3
133,Rachel Furness,MF,Liverpool,31,1988,4,0,0,0,1,3,0,5,6,3,0,0,0,21,27,24,52.9
134,Niamh Fahey,DF,Liverpool,31,1987,12.7,1,1,0,9,4,1,1,18,15,0,1,0,100,17,18,48.6
135,Jessica Clarke,"FW,MF",Liverpool,30,1989,4,0,0,0,8,9,2,12,1,0,0,0,0,15,4,8,33.3
136,Niamh Charles,"FW,MF",Liverpool,20,1999,11.8,0,0,0,12,17,3,22,13,25,0,0,0,72,11,20,35.5
137,Sophie Bradley,DF,Liverpool,29,1989,14,2,0,0,4,2,1,1,18,5,0,0,0,95,18,11,62.1
138,Jade Bailey,MF,Liverpool,23,1995,12.6,0,0,0,18,4,0,33,13,18,0,0,0,100,15,11,57.7
139,Rinsola Babajide,"FW,MF",Liverpool,21,1998,8.2,2,0,0,16,15,5,31,9,8,1,0,0,55,6,9,40
140,Tessa Wullaert,"FW,MF",Manchester City,26,1993,9.7,2,0,0,4,9,6,34,7,8,0,0,0,42,5,6,45.5
141,Ellen White,FW,Manchester City,30,1989,9.5,0,0,0,11,7,12,3,5,5,0,0,0,28,9,16,36
142,Caroline Weir,MF,Manchester City,24,1995,16,1,0,0,8,10,2,90,29,23,1,0,0,185,8,7,53.3
143,Keira Walsh,MF,Manchester City,22,1997,14,0,0,0,11,10,0,9,20,11,0,0,0,104,6,4,60
144,Tyler Toland,MF,Manchester City,17,2001,0.2,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,
145,Demi Stokes,DF,Manchester City,27,1991,12.6,0,0,0,7,4,2,21,18,20,0,0,0,81,5,12,29.4
146,Georgia Stanway,"FW,DF",Manchester City,20,1999,9.2,3,1,1,20,8,4,21,12,14,0,0,1,41,1,2,33.3
147,Jill Scott,MF,Manchester City,32,1987,14.3,1,0,0,16,7,2,15,16,25,0,0,0,72,38,29,56.7
148,Ellie Roebuck,GK,Manchester City,19,1999,16,0,0,0,0,4,0,0,0,0,0,0,0,19,2,0,100
149,Jessica Park,MF,Manchester City,17,2001,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
150,Aoife Mannion,DF,Manchester City,23,1995,4,1,0,0,5,1,0,2,7,5,0,0,0,25,6,5,54.5
151,Steph Houghton,DF,Manchester City,31,1988,16,0,0,0,6,3,0,8,10,2,0,1,0,114,25,14,64.1
152,Lauren Hemp,"MF,FW",Manchester City,18,2000,12.6,2,0,0,15,11,3,45,22,29,0,0,0,82,18,7,72
