Rk,Player,Pos,"Squad
▲",Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
79,Sophie Baggaley,GK,Bristol City,22,1996,14,702,442,260,59,0,0,0,0,0,0,0,0,397,0,0
80,Flo Allen,DF,Bristol City,19,1999,3,93,70,23,1,0,0,2,22,0,0,0,0,61,0,2
81,Maria Thorisdottir,MF,Chelsea,26,1993,0.8,45,44,1,0,0,0,1,1,0,0,0,0,31,0,0
82,Carly Telford,GK,Chelsea,32,1987,2,88,78,10,3,0,0,0,0,0,0,0,0,73,0,0
83,Drew Spence,"MF,FW",Chelsea,26,1992,7,291,279,8,3,4,2,1,1,0,0,0,0,230,4,2
84,Ji So-yun,MF,Chelsea,28,1991,11.1,708,684,23,3,5,5,9,13,0,0,0,0,611,1,9
85,Guro Reiten,"MF,FW",Chelsea,25,1994,13.4,505,427,74,20,3,1,92,13,40,30,2,3,323,4,17
86,Jamie-Lee Napier,"MF,DF",Chelsea,19,2000,0.2,6,6,0,0,0,0,0,0,0,0,0,0,4,0,0
87,Emily Murphy,"MF,FW",Chelsea,16,2003,0.3,8,8,0,0,0,0,0,0,0,0,0,0,5,0,1
88,Maren Mjelde,"DF,MF",Chelsea,29,1989,14,814,679,132,8,3,0,38,118,6,5,1,0,675,3,17
89,Fran Kirby,"FW,MF",Chelsea,26,1993,2.2,82,78,3,0,0,0,3,0,0,0,0,0,59,1,0
90,Sam Kerr,FW,Chelsea,25,1993,3.3,68,68,0,0,0,0,5,0,0,0,0,0,41,0,4
91,Sophie Ingle,MF,Chelsea,27,1991,14,708,695,9,5,2,3,9,4,0,0,0,0,553,4,4
92,Magdalena Eriksson,DF,Chelsea,25,1993,14,865,837,25,18,0,6,2,7,0,0,0,0,706,3,2
93,Adelina Engman,"FW,MF",Chelsea,24,1994,0.9,21,19,2,0,0,0,1,2,0,0,0,0,16,0,1
94,Bethany England,FW,Chelsea,25,1994,14.7,375,355,16,0,2,1,23,12,0,0,0,0,254,4,12
95,Erin Cuthbert,"MF,FW",Chelsea,21,1998,11.9,533,444,86,17,1,2,100,23,44,37,0,2,352,3,20
96,Deanna Cooper,DF,Chelsea,26,1993,0.3,21,17,4,0,0,0,1,4,0,0,0,0,16,0,0
97,Jess Carter,"DF,MF",Chelsea,21,1997,1.9,129,124,5,3,1,1,2,2,0,0,0,0,109,0,2
98,Millie Bright,DF,Chelsea,25,1993,15,1027,992,29,22,1,17,7,7,0,0,0,0,793,6,12
99,Hannah Blundell,DF,Chelsea,25,1994,4.6,297,251,46,3,0,0,12,43,0,0,0,0,244,0,4
100,Ann-Katrin Berger,GK,Chelsea,28,1990,13,474,380,94,14,0,0,0,1,0,0,0,0,406,0,0
101,Ramona Bachmann,"FW,MF",Chelsea,28,1990,6.3,227,205,22,2,0,0,21,8,7,5,1,0,161,0,2
102,Jonna Andersson,DF,Chelsea,26,1993,14.1,883,696,183,9,0,1,53,167,7,3,1,0,659,4,24
103,Danielle Turner,DF,Everton,28,1991,14,835,570,263,5,0,2,30,258,0,0,0,0,543,2,25
104,Abbey-Leigh Stringer,MF,Everton,24,1995,5.6,222,219,3,2,0,4,1,1,0,0,0,0,161,0,7
105,Molly Pike,MF,Everton,18,2001,6.3,136,133,3,0,0,1,4,0,1,0,0,0,82,0,5
106,Esme Morgan,DF,Everton,18,2000,10.2,479,330,149,3,0,0,6,146,0,0,0,0,317,0,13
107,Simone Magill,"FW,MF",Everton,24,1994,9.9,234,223,10,0,1,0,8,0,0,0,0,0,151,1,12
108,Sandy MacIver,GK,Everton,21,1998,3,93,68,25,4,0,0,0,0,0,0,0,0,69,0,0
109,Tinja-Riikka Korpela,GK,Everton,33,1986,11,504,355,149,20,0,0,0,0,0,0,0,0,407,0,1
110,Chloe Kelly,FW,Everton,21,1998,11.8,303,251,48,19,1,0,65,1,24,17,2,3,157,4,11
111,Inessa Kaagman,"FW,MF",Everton,23,1996,10.9,364,315,47,12,1,2,50,0,34,19,8,2,218,2,10
112,Elise Hughes,FW,Everton,18,2001,1.2,15,13,1,0,0,0,0,0,0,0,0,0,8,1,1
113,Taylor Hinds,DF,Everton,19,1999,2.4,135,111,23,0,0,1,3,23,0,0,0,0,97,1,1
114,Lucy Graham,MF,Everton,22,1996,13.7,497,490,7,0,2,1,11,6,0,0,0,0,332,0,11
115,Gabrielle George,DF,Everton,22,1997,13,627,581,43,36,0,3,0,7,0,0,0,0,479,3,11
116,Megan Finnigan,DF,Everton,21,1998,10,466,432,34,24,0,3,0,10,0,0,0,0,348,0,10
117,Kika van Es,DF,Everton,27,1991,7.1,342,295,43,26,0,3,2,17,0,0,0,0,236,4,1
118,Maéva Clemaron,MF,Everton,26,1992,10.9,482,474,8,3,0,4,3,1,0,0,0,0,311,0,5
119,Hannah Cain,FW,Everton,20,1999,6.1,139,126,13,0,2,0,8,0,0,0,0,0,76,0,4
120,Chantelle Boye-Hlorkah,FW,Everton,23,1995,6.8,201,193,7,0,0,0,31,6,1,0,1,0,98,1,10
121,Courtney Sweetman-Kirk,FW,Liverpool,28,1990,6.7,122,116,6,0,0,1,1,0,0,0,0,0,93,0,2
122,Amy Rodgers,MF,Liverpool,19,2000,2.6,62,62,0,0,0,0,0,0,0,0,0,0,45,0,1
123,Rhiannon Roberts,MF,Liverpool,28,1990,9.8,347,339,4,3,0,5,6,1,0,0,0,0,227,4,8
124,Leigh-Anne Robe,DF,Liverpool,25,1993,14,624,437,183,8,0,0,11,175,0,0,0,0,412,4,10
125,Jemma Purfield,DF,Liverpool,22,1997,1.3,68,41,27,4,0,0,1,23,0,0,0,0,41,0,1
126,Anke Preuß,GK,Liverpool,26,1992,10,332,207,124,20,0,1,0,0,0,0,0,0,189,1,1
127,Christie Murray,MF,Liverpool,29,1990,1,48,37,10,4,0,0,10,0,6,3,3,0,26,1,1
128,Kirsty Linnett,"MF,FW",Liverpool,25,1993,6.9,220,208,12,1,0,1,3,2,0,0,0,0,148,0,5
129,Melissa Lawley,"FW,MF",Liverpool,25,1994,13.4,427,357,69,18,0,1,70,12,23,5,4,8,290,1,21
130,Frances Kitching,GK,Liverpool,21,1998,4,117,72,45,6,0,0,0,0,0,0,0,0,58,0,0
131,Rebecca Jane,DF,Liverpool,27,1992,14,802,581,216,19,0,1,26,193,4,1,2,1,562,5,12
132,Ashley Hodson,"FW,MF",Liverpool,24,1995,2.8,47,46,1,0,0,0,2,1,0,0,0,0,29,0,2
